scenario,animal_id,session_id,session,group,timepoint,abf_file,wmv_file,abf_path,wmv_path,abf_gb,wmv_gb
A,16572,16572,,WT,6m,21624001.abf,Video 6546.wmv,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16572_24Jun21_6mon_Baseline\21624001.abf,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16572_24Jun21_6mon_Baseline\Video 6546.wmv,0.134,0.413
A,16572,16572,,WT,6m,21624002.abf,Video 6547.wmv,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16572_24Jun21_6mon_Baseline\21624002.abf,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16572_24Jun21_6mon_Baseline\Video 6547.wmv,0.134,0.401
A,16572,16572,,WT,6m,21624003.abf,Video 6548.wmv,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16572_24Jun21_6mon_Baseline\21624003.abf,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16572_24Jun21_6mon_Baseline\Video 6548.wmv,0.134,0.92
A,16572,16572,,WT,6m,21624004.abf,Video 6549.wmv,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16572_24Jun21_6mon_Baseline\21624004.abf,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16572_24Jun21_6mon_Baseline\Video 6549.wmv,0.134,1.047
A,16572,16572,,WT,6m,21624005.abf,Video 6550.wmv,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16572_24Jun21_6mon_Baseline\21624005.abf,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16572_24Jun21_6mon_Baseline\Video 6550.wmv,0.134,1.134
A,16572,16572,,WT,6m,21625000.abf,Video 6551.wmv,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16572_24Jun21_6mon_Baseline\21625000.abf,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16572_24Jun21_6mon_Baseline\Video 6551.wmv,0.134,1.221
A,16572,16572,,WT,6m,21625001.abf,Video 6552.wmv,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16572_24Jun21_6mon_Baseline\21625001.abf,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16572_24Jun21_6mon_Baseline\Video 6552.wmv,0.134,1.347
A,16572,16572,,WT,6m,21625002.abf,Video 6553.wmv,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16572_24Jun21_6mon_Baseline\21625002.abf,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16572_24Jun21_6mon_Baseline\Video 6553.wmv,0.134,1.259
A,16572,16572,,WT,6m,21625003.abf,Video 6554.wmv,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16572_24Jun21_6mon_Baseline\21625003.abf,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16572_24Jun21_6mon_Baseline\Video 6554.wmv,0.134,1.042
A,16594,16594,,WT,6m,21628002.abf,Video 6584.wmv,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16594_28Jun21_6mon_Baseline\21628002.abf,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16594_28Jun21_6mon_Baseline\Video 6584.wmv,0.134,0.977
A,16594,16594,,WT,6m,21628003.abf,Video 6585.wmv,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16594_28Jun21_6mon_Baseline\21628003.abf,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16594_28Jun21_6mon_Baseline\Video 6585.wmv,0.134,1.079
A,16594,16594,,WT,6m,21628004.abf,Video 6586.wmv,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16594_28Jun21_6mon_Baseline\21628004.abf,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16594_28Jun21_6mon_Baseline\Video 6586.wmv,0.134,1.097
A,16594,16594,,WT,6m,21628005.abf,Video 6587.wmv,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16594_28Jun21_6mon_Baseline\21628005.abf,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16594_28Jun21_6mon_Baseline\Video 6587.wmv,0.134,1.116
A,16594,16594,,WT,6m,21629000.abf,Video 6588.wmv,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16594_28Jun21_6mon_Baseline\21629000.abf,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16594_28Jun21_6mon_Baseline\Video 6588.wmv,0.134,1.167
A,16594,16594,,WT,6m,21629001.abf,Video 6589.wmv,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16594_28Jun21_6mon_Baseline\21629001.abf,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16594_28Jun21_6mon_Baseline\Video 6589.wmv,0.134,1.139
A,16594,16594,,WT,6m,21629002.abf,Video 6590.wmv,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16594_28Jun21_6mon_Baseline\21629002.abf,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16594_28Jun21_6mon_Baseline\Video 6590.wmv,0.134,1.068
A,16594,16594,,WT,6m,21629003.abf,Video 6591.wmv,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16594_28Jun21_6mon_Baseline\21629003.abf,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16594_28Jun21_6mon_Baseline\Video 6591.wmv,0.134,0.991
A,16594,16594,,WT,6m,21629004.abf,Video 6592.wmv,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16594_28Jun21_6mon_Baseline\21629004.abf,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16594_28Jun21_6mon_Baseline\Video 6592.wmv,0.134,1.082
A,16594,16594,,WT,6m,21629005.abf,Video 6593.wmv,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16594_28Jun21_6mon_Baseline\21629005.abf,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16594_28Jun21_6mon_Baseline\Video 6593.wmv,0.134,1.095
A,16594,16594,,WT,6m,21629006.abf,Video 6594.wmv,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16594_28Jun21_6mon_Baseline\21629006.abf,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16594_28Jun21_6mon_Baseline\Video 6594.wmv,0.134,0.717
A,16596,16596,,WT,6m,21625001.abf,Video 9352.wmv,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16596_25Jun21_6mon_Baseline\21625001.abf,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16596_25Jun21_6mon_Baseline\Video 9352.wmv,0.134,0.397
A,16596,16596,,WT,6m,21625002.abf,Video 9355.wmv,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16596_25Jun21_6mon_Baseline\21625002.abf,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16596_25Jun21_6mon_Baseline\Video 9355.wmv,0.134,0.416
A,16596,16596,,WT,6m,21625003.abf,Video 9356.wmv,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16596_25Jun21_6mon_Baseline\21625003.abf,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16596_25Jun21_6mon_Baseline\Video 9356.wmv,0.134,0.409
A,16596,16596,,WT,6m,21625004.abf,Video 9361.wmv,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16596_25Jun21_6mon_Baseline\21625004.abf,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16596_25Jun21_6mon_Baseline\Video 9361.wmv,0.134,0.394
A,16596,16596,,WT,6m,21625005.abf,Video 9362.wmv,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16596_25Jun21_6mon_Baseline\21625005.abf,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16596_25Jun21_6mon_Baseline\Video 9362.wmv,0.134,0.394
A,16596,16596,,WT,6m,21625006.abf,Video 9363.wmv,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16596_25Jun21_6mon_Baseline\21625006.abf,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16596_25Jun21_6mon_Baseline\Video 9363.wmv,0.134,0.418
A,16596,16596,,WT,6m,21625007.abf,Video 9365.wmv,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16596_25Jun21_6mon_Baseline\21625007.abf,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16596_25Jun21_6mon_Baseline\Video 9365.wmv,0.134,0.411
A,16596,16596,,WT,6m,21626000.abf,Video 9366.wmv,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16596_25Jun21_6mon_Baseline\21626000.abf,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16596_25Jun21_6mon_Baseline\Video 9366.wmv,0.134,0.408
A,16596,16596,,WT,6m,21626001.abf,Video 9367.wmv,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16596_25Jun21_6mon_Baseline\21626001.abf,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16596_25Jun21_6mon_Baseline\Video 9367.wmv,0.134,0.401
A,16596,16596,,WT,6m,21626002.abf,Video 9368.wmv,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16596_25Jun21_6mon_Baseline\21626002.abf,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16596_25Jun21_6mon_Baseline\Video 9368.wmv,0.134,0.406
A,16596,16596,,WT,6m,21626003.abf,Video 9369.wmv,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16596_25Jun21_6mon_Baseline\21626003.abf,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16596_25Jun21_6mon_Baseline\Video 9369.wmv,0.134,0.555
A,16596,16596,,WT,6m,21626004.abf,Video 9370.wmv,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16596_25Jun21_6mon_Baseline\21626004.abf,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16596_25Jun21_6mon_Baseline\Video 9370.wmv,0.134,0.482
