scenario,animal_id,session_id,session,group,timepoint,abf_file,wmv_file,abf_path,wmv_path,abf_gb,wmv_gb
A,16572,16572,,WT,3m,21409010.abf,Video 6232.wmv,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16572_09Apr21\21409010.abf,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16572_09Apr21\Video 6232.wmv,0.134,1.401
A,16572,16572,,WT,3m,21409011.abf,Video 6233.wmv,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16572_09Apr21\21409011.abf,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16572_09Apr21\Video 6233.wmv,0.134,1.518
A,16572,16572,,WT,3m,21409012.abf,Video 6234.wmv,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16572_09Apr21\21409012.abf,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16572_09Apr21\Video 6234.wmv,0.134,1.527
A,16572,16572,,WT,3m,21410000.abf,Video 6235.wmv,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16572_09Apr21\21410000.abf,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16572_09Apr21\Video 6235.wmv,0.134,1.53
A,16572,16572,,WT,3m,21410001.abf,Video 6236.wmv,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16572_09Apr21\21410001.abf,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16572_09Apr21\Video 6236.wmv,0.134,1.551
A,16572,16572,,WT,3m,21410002.abf,Video 6237.wmv,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16572_09Apr21\21410002.abf,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16572_09Apr21\Video 6237.wmv,0.134,1.476
A,16572,16572,,WT,3m,21410003.abf,Video 6238.wmv,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16572_09Apr21\21410003.abf,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16572_09Apr21\Video 6238.wmv,0.134,1.494
A,16572,16572,,WT,3m,21410004.abf,Video 6239.wmv,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16572_09Apr21\21410004.abf,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16572_09Apr21\Video 6239.wmv,0.134,1.428
A,16572,16572,,WT,3m,21410005.abf,Video 6240.wmv,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16572_09Apr21\21410005.abf,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16572_09Apr21\Video 6240.wmv,0.134,1.304
A,16572,16572,,WT,3m,21410006.abf,Video 6241.wmv,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16572_09Apr21\21410006.abf,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16572_09Apr21\Video 6241.wmv,0.134,0.674
